nursing_home_label,city,county,state,latitude,longitude,location_type,partial_match
Ybor City Center For Rehabilitation And Healing,Tampa,Hillsborough,florida,27.9645757,-82.42595179999999,APPROXIMATE,True
Blue Lake Post Acute,Deland,Volusia,florida,29.0553097,-81.2711546,APPROXIMATE,True
Clyde E Lassen State Veterans Nursing Home,Saint Augustine,St. Johns,florida,29.9605742,-81.4675089,ROOFTOP,True
Fountains Rehabilitation At Mill Cove,Jacksonville,Duval,florida,30.3795779,-81.5733528,APPROXIMATE,True
Grand Oaks Health And Rehabilitation Center,Palm Coast,Flagler,florida,29.558014,-81.19672,ROOFTOP,True
Hampton Court Nursing And Rehabilitation Center,North Miami Beach,Miami-Dade,florida,25.92294,-80.20497739999999,ROOFTOP,True
Harts Harbor Health Care Center,Jacksonville,Duval,florida,30.444853,-81.656685,ROOFTOP,True
North Bank Center For Rehabilitation And Healing,Jacksonville,Duval,florida,30.3433585,-81.6558322,GEOMETRIC_CENTER,True
Nspire Healthcare Miami Lakes,Hialeah,Miami-Dade,florida,25.943327,-80.294983,ROOFTOP,True
Oak Haven Rehab And Nursing Center,Auburndale,Polk,florida,28.0592566,-81.7710982,ROOFTOP,True
Oaktree Healthcare,South Daytona,Volusia,florida,29.1588523,-81.0033973,ROOFTOP,True
Regents Park Of Jacksonville,Jacksonville,Duval,florida,30.2447651,-81.553558,ROOFTOP,True
Riviera Health Resort,Coral Gables,Miami-Dade,florida,25.7053975,-80.2820246,ROOFTOP,True
San Jose Health And Rehabilitation Center,Jacksonville,Duval,florida,30.208376,-81.61563,ROOFTOP,True
Sands At South Beach Care Center,Miami Beach,Miami-Dade,florida,25.7694309,-80.1342863,ROOFTOP,True
University Health And Rehabilitation Center,Miami,Miami-Dade,florida,25.7934982,-80.20770929999999,ROOFTOP,True
"Victoria Nursing & Rehabilitation Center, Inc.",Miami,Miami-Dade,florida,25.7766177,-80.2106385,ROOFTOP,True
Vivo Healthcare Orange Park,Orange Park,Clay,florida,30.1860305,-81.707988,ROOFTOP,True
Vivo Healthcare University,Jacksonville,Duval,florida,30.2879721,-81.6033167,ROOFTOP,True
Abbey Delray South,Delray Beach,Palm Beach,florida,26.4371855,-80.0996913,ROOFTOP,True
Abbey Rehabilitation And Nursing Center,Saint Petersburg,Pinellas,florida,27.8364719,-82.6463502,ROOFTOP,True
Advanced Care Center And Rehab,Clearwater,Pinellas,florida,27.9699817,-82.7221962,ROOFTOP,True
Adventhealth Care Center Apopka North,Apopka,Orange,florida,28.68129919999999,-81.50421899999999,ROOFTOP,True
Adventhealth Care Center Celebration,Kissimmee,Osceola,florida,28.3160988,-81.55762949999999,ROOFTOP,True
Adventhealth Care Center Orlando East,Orlando,Orange,florida,28.6035206,-81.3908989,ROOFTOP,True
Adventhealth Care Center Orlando North,Orlando,Orange,florida,28.6035206,-81.3908989,ROOFTOP,True
Adventhealth Care Center Waterman,Tavares,Lake,florida,28.8271646,-81.7136472,ROOFTOP,True
Adventhealth Care Center Zephyrhills North,Zephyrhills,Pasco,florida,28.2644677,-82.1825862,ROOFTOP,True
Adventhealth Care Center Zephyrhills South,Zephyrhills,Pasco,florida,28.2644677,-82.1825862,ROOFTOP,True
Advinia Care At Venice,Venice,Sarasota,florida,27.1015608,-82.4184713,ROOFTOP,True
Adviniacare At Naples,Naples,Collier,florida,26.2396114,-81.7695509,ROOFTOP,True
Aidan Post-Acute And Rehabilitation Center,Fort Pierce,St. Lucie,florida,27.4410782,-80.3534842,ROOFTOP,True
"Alexander ""Sandy"" Nininger State Veterans Nursing Home",Pembroke Pines,Broward,florida,26.0043947,-80.2539994,ROOFTOP,True
Alhambra Healthcare & Rehabilitation Center,Saint Petersburg,Pinellas,florida,27.7676008,-82.64029149999999,APPROXIMATE,True
Alliance Health And Rehabilitation Center,Deland,Volusia,florida,29.028318,-81.3031179,APPROXIMATE,True
Alpine Health And Rehabilitation Center,Saint Petersburg,Pinellas,florida,27.7492695,-82.68057089999999,ROOFTOP,True
Ambassador Healthcare At College Park,Fort Myers,Lee,florida,26.5492443,-81.8881305,ROOFTOP,True
Anchor Care & Rehabilitation Center,Palm Bay,Brevard,florida,28.0197189,-80.6048706,ROOFTOP,True
Apollo Healthcare & Rehabilitation Center,Saint Petersburg,Pinellas,florida,27.730881,-82.639015,ROOFTOP,True
Arbor Springs Health And Rehabilitation Center,Ocala,Marion,florida,29.161742,-82.117184,ROOFTOP,True
Arbor Trail Rehab And Skilled Nursing Center,Inverness,Citrus,florida,28.8468802,-82.33742529999999,ROOFTOP,True
Arcadia Health And Rehabilitation Center,Pensacola,Escambia,florida,30.5401933,-87.2135772,ROOFTOP,True
Ascension Living St. Catherine Laboure' Place,Jacksonville,Duval,florida,30.3087539,-81.6878814,ROOFTOP,True
Astoria Health And Rehabilitation Center,Winter Haven,Polk,florida,28.0222435,-81.7328567,APPROXIMATE,True
Atlantic Shores Nursing And Rehab Center,Melbourne,Brevard,florida,28.0469263,-80.62821249999999,ROOFTOP,True
"Avante At Boca Raton, Inc.",Boca Raton,Palm Beach,florida,26.3629364,-80.10937129999999,ROOFTOP,True
Avante At Inverness Inc,Inverness,Citrus,florida,28.8316669,-82.33564729999999,ROOFTOP,True
"Avante At Lake Worth, Inc.",Lake Worth,Palm Beach,florida,26.6439949,-80.06465659999999,ROOFTOP,True
"Avante At Leesburg, Inc",Leesburg,Lake,florida,28.8071698,-81.89511189999999,ROOFTOP,True
Avante At Melbourne Inc,Melbourne,Brevard,florida,28.0861955,-80.61565499999999,ROOFTOP,True
"Avante At Mt Dora, Inc.",Mount Dora,Lake,florida,28.8093245,-81.67583619999999,ROOFTOP,True
"Avante At Ocala, Inc",Ocala,Marion,florida,29.1674479,-82.1357331,ROOFTOP,True
"Avante At Ormond Beach, Inc",Ormond Beach,Volusia,florida,29.2826704,-81.08172119999999,ROOFTOP,True
"Avante At St. Cloud, Inc.",Saint Cloud,Osceola,florida,28.2453681,-81.30288949999999,ROOFTOP,True
Avante Villa At Jacksonville Beach Inc,Jacksonville Beach,Duval,florida,30.2698857,-81.40164960000001,ROOFTOP,True
Aventura At The Bay,Saint Petersburg,Pinellas,florida,27.866261,-82.6404524,ROOFTOP,True
Aventura Rehab And Nursing Center,North Miami Beach,Miami-Dade,florida,25.930001,-80.1636304,ROOFTOP,True
Ayers Health And Rehabilitation Center,Trenton,Gilchrist,florida,29.617579,-82.80998699999999,ROOFTOP,True
Azure Shores Rehab,Miami,Miami-Dade,florida,25.8611444,-80.212137,ROOFTOP,True
Baldomero Lopez Memorial Veterans Nursing Home,Land O Lakes,Pasco,florida,28.2506345,-82.4486447,ROOFTOP,True
Bartow Center,Bartow,Polk,florida,27.88188,-81.8239651,ROOFTOP,True
Bartram Crossing,Jacksonville,Duval,florida,30.135713,-81.5380441,ROOFTOP,True
Bay Breeze Health And Rehabilitation Center,Venice,Sarasota,florida,27.10591,-82.43311,ROOFTOP,True
Bay Breeze Senior Living And Rehabilitation Center,Gulf Breeze,Santa Rosa,florida,30.3861323,-87.0824825,ROOFTOP,True
Bay Pointe Nursing Pavilion,Saint Petersburg,Pinellas,florida,27.7297674,-82.6761205,ROOFTOP,True
Bay Village Of Sarasota,Sarasota,Sarasota,florida,27.2290821,-82.49850459999999,ROOFTOP,True
Bay Vue Nursing And Rehabilitation Center,Bradenton,Manatee,florida,27.4984862,-82.54745,ROOFTOP,True
Baya Pointe Nursing And Rehabilitation Center,Lake City,Columbia,florida,30.182093,-82.62559,ROOFTOP,True
Bayshore Pointe Nursing And Rehab Center,Tampa,Hillsborough,florida,27.8939007,-82.4958786,ROOFTOP,True
Bayside Care Center,Saint Petersburg,Pinellas,florida,27.780642,-82.64828899999999,ROOFTOP,True
Bayside Health And Rehabilitation Center,Pensacola,Escambia,florida,30.4818659,-87.168418,ROOFTOP,True
Bayview Center,Eustis,Lake,florida,28.8494194,-81.6852029,ROOFTOP,True
Beach Breeze Rehab And Care Center,West Palm Beach,Palm Beach,florida,26.6533734,-80.0947454,ROOFTOP,True
Beach Street Health And Rehabilitation Center,Daytona Beach,Volusia,florida,29.1943831,-81.010528,ROOFTOP,True
Beachside Center For Rehabilitation And Nursing,New Smyrna Beach,Volusia,florida,29.0159874,-80.8842809,ROOFTOP,True
Bear Creek Nursing Center,Hudson,Pasco,florida,28.332025,-82.68132,ROOFTOP,True
Bedrock Rehabilitation And Nursing Center At Lake City,Lake City,Columbia,florida,30.1862678,-82.7174491,ROOFTOP,True
Bedrock Rehabilitation And Nursing Center At Lake Eustis,Eustis,Lake,florida,28.8477607,-81.6903432,ROOFTOP,True
Bedrock Rehabilitation And Nursing Center At Melbourne,Melbourne,Brevard,florida,28.0867335,-80.61278449999999,ROOFTOP,True
Bedrock Rehabilitation And Nursing Center At Suwannee,Live Oak,Suwannee,florida,30.2853363,-82.9645553,GEOMETRIC_CENTER,True
Bedrock Rehabilitation And Nursing Center At Winter Park,Maitland,Orange,florida,28.6111,-81.3706176,ROOFTOP,True
Belleair Health Care Center,Clearwater,Pinellas,florida,27.9360334,-82.7985849,ROOFTOP,True
Benderson Family Skilled Nursing And Rehabilitation Center,Sarasota,Sarasota,florida,27.3537957,-82.4658821,ROOFTOP,True
Beneva Lakes Healthcare And Rehabilitation Center,Sarasota,Sarasota,florida,27.327976,-82.49547,ROOFTOP,True
Bentley Care Center,Naples,Collier,florida,26.3068647,-81.805503,ROOFTOP,True
Biscayne Health And Rehabilitation Center,North Miami,Miami-Dade,florida,25.8918543,-80.16596659999999,ROOFTOP,True
Blountstown Health And Rehabilitation Center,Blountstown,Calhoun,florida,30.4435293,-85.0451953,APPROXIMATE,True
Boca Raton Rehabilitation Center,Boca Raton,Palm Beach,florida,26.3607273,-80.1024455,ROOFTOP,True
Bonifay Nursing And Rehab Center,Bonifay,Holmes,florida,30.7817976,-85.6839311,ROOFTOP,True
Boulevard Rehabilitation Center,Boynton Beach,Palm Beach,florida,26.5031808,-80.0707886,ROOFTOP,True
Bradenton Health Care,Bradenton,Manatee,florida,27.462173,-82.62478,ROOFTOP,True
Brandon Center For Nursing & Rehabilitation,Brandon,Hillsborough,florida,27.93354,-82.3076,ROOFTOP,True
Breeze Care Center,Sarasota,Sarasota,florida,27.319707,-82.531379,ROOFTOP,True
Breezy Hills Rehab And Care Center,Lakeland,Polk,florida,28.1092682,-81.94640640000001,ROOFTOP,True
Bridgeview Center,Ormond Beach,Volusia,florida,29.2753602,-81.0546463,ROOFTOP,True
Bridgewalk On Harden Health And Rehabilitation,Lakeland,Polk,florida,28.0087085,-81.9734536,ROOFTOP,True
Bridgewater Park Health & Rehabilitation Center,Ocala,Marion,florida,29.08743939999999,-82.25543019999999,ROOFTOP,True
Brookdale Palmer Ranch Snf,Sarasota,Sarasota,florida,27.2467525,-82.4678543,ROOFTOP,True
Brooksville Healthcare Center,Brooksville,Hernando,florida,28.5468604,-82.40270199999999,ROOFTOP,True
Broward Nursing & Rehabilitation Center,Fort Lauderdale,Broward,florida,26.1050295,-80.1423834,ROOFTOP,True
Brynwood Health And Rehabilitation Center,Monticello,Jefferson,florida,30.5239601,-83.87393949999999,ROOFTOP,True
Buffalo Crossings Healthcare & Rehabilitation Center,The Villages,Sumter,florida,28.9290865,-82.0257578,ROOFTOP,True
Canterbury Towers Inc,Tampa,Hillsborough,florida,27.9111047,-82.4912671,ROOFTOP,True
Carlton Shores Healthcare And Rehabilitation Center,Daytona Beach,Volusia,florida,29.2255679,-81.0410276,GEOMETRIC_CENTER,True
Carrington Place Of St Pete,Saint Petersburg,Pinellas,florida,27.868201,-82.6432141,ROOFTOP,True
Carrollwood Care Center,Tampa,Hillsborough,florida,28.0879705,-82.543042,ROOFTOP,True
Casa Mora Rehabilitation And Extended Care,Bradenton,Manatee,florida,27.4798771,-82.6210177,ROOFTOP,True
Central Park Healthcare And Rehabilitation Center,Brandon,Hillsborough,florida,27.927801,-82.2952,ROOFTOP,True
Centre Pointe Health And Rehab Center,Tallahassee,Leon,florida,30.4754158,-84.2405617,ROOFTOP,True
Century Center For Rehabilitation And Healing,Century,Escambia,florida,30.9732384,-87.2638628,APPROXIMATE,True
Charlotte Bay Rehab And Care Center,Port Charlotte,Charlotte,florida,26.970819,-82.0786768,ROOFTOP,True
Charming Lakes Rehab,Lakeland,Polk,florida,28.070929,-81.9453507,ROOFTOP,True
Chateau At Moorings Park,Naples,Collier,florida,26.202624,-81.791125,ROOFTOP,True
Chatham Glen Healthcare And Rehabilitation Center,The Villages,Marion,florida,28.9807618,-82.0299846,ROOFTOP,True
Chatsworth At Pga National,Palm Beach Gardens,Palm Beach,florida,26.810226,-80.1354669,ROOFTOP,True
Chautauqua Springs Health Center,Defuniak Springs,Walton,florida,30.7095489,-86.10721579999999,ROOFTOP,True
"Children'S Comprehensive Care Center, Inc.",Pompano Beach,Broward,florida,26.231523,-80.1075899,ROOFTOP,True
Chipola Health And Rehabilitation Center,Marianna,Jackson,florida,30.7859341,-85.2377176,ROOFTOP,True
Citrus Health And Rehabilitation Center,Inverness,Citrus,florida,28.8308063,-82.3384658,ROOFTOP,True
Claridge House Nursing And Rehabilitation Center,North Miami,Miami-Dade,florida,25.9033845,-80.1931295,ROOFTOP,True
Clermont Health And Rehabilitation Center,Clermont,Lake,florida,28.5464121,-81.7547677,ROOFTOP,True
Clewiston Nursing & Rehabilitation,Clewiston,Hendry,florida,26.7542312,-80.93367529999999,APPROXIMATE,True
Clifford Chester Sims State Veterans Nursing Home,Panama City,Bay,florida,30.1759901,-85.5878778,ROOFTOP,True
Club Healthcare And Rehabilitation Center At The Villages (The),The Villages,Marion,florida,28.927019,-82.0037608,APPROXIMATE,True
Coastal Health And Rehabilitation Center,Daytona Beach,Volusia,florida,29.214275,-81.0655249,ROOFTOP,True
Colonial Lakes Health Care,Winter Garden,Orange,florida,28.549976,-81.61148,ROOFTOP,True
Colonial Skilled Nursing Facility,West Palm Beach,Palm Beach,florida,26.7357242,-80.0889806,ROOFTOP,True
Commons At Orlando Lutheran Towers,Orlando,Orange,florida,28.5400828,-81.3738082,ROOFTOP,True
Community Convalescent Center,Plant City,Hillsborough,florida,28.0186323,-82.1128641,APPROXIMATE,True
Community Health And Rehabilitation Center,Panama City,Bay,florida,30.2141996,-85.60863119999999,ROOFTOP,True
Concordia Manor,Saint Petersburg,Pinellas,florida,27.7851194,-82.63799949999999,ROOFTOP,True
Concordia Village Of Tampa,Tampa,Hillsborough,florida,28.0701391,-82.4164031,ROOFTOP,True
Conway Lakes Health & Rehabilitation Center,Orlando,Orange,florida,28.5251551,-81.3213976,ROOFTOP,True
Coquina Center,Ormond Beach,Volusia,florida,29.2851109,-81.077406,ROOFTOP,True
Coral Bay At Pensacola,Pensacola,Escambia,florida,30.4143537,-87.2243608,ROOFTOP,True
Coral Bay Healthcare And Rehabilitation,West Palm Beach,Palm Beach,florida,26.634642,-80.12182,ROOFTOP,True
Coral Gables Nursing And Rehabilitation Center,Miami,Miami-Dade,florida,25.7623189,-80.3096111,ROOFTOP,True
Coral Trace Health Care,Cape Coral,Lee,florida,26.64706,-81.97501,ROOFTOP,True
Countryside Rehab And Healthcare Center,Palm Harbor,Pinellas,florida,28.056837,-82.71273000000001,ROOFTOP,True
Courtyards Of Orlando Care Center,Orlando,Orange,florida,28.5424973,-81.3795088,ROOFTOP,True
Covenant Village Care Center,Plantation,Broward,florida,26.1221511,-80.2682968,ROOFTOP,True
Crestview Rehabilitation Center,Crestview,Okaloosa,florida,30.764559,-86.55280789999999,ROOFTOP,True
Cross City Nursing And Rehabilitation Center,Cross City,Dixie,florida,29.6419326,-83.12403259999999,ROOFTOP,True
Crossings Care Center,Lake Worth,Palm Beach,florida,26.6125748,-80.11534259999999,ROOFTOP,True
Crystal Health And Rehab Center,Tavernier,Monroe,florida,24.9818515,-80.5507659,ROOFTOP,True
Crystal River Health And Rehabilitation Center,Crystal River,Citrus,florida,28.8963405,-82.5727227,ROOFTOP,True
Cypress Care Center And Rehab,Wildwood,Sumter,florida,28.8551211,-82.0358821,ROOFTOP,True
Cypress Cove Care Center,Crystal River,Citrus,florida,28.8903116,-82.5796385,ROOFTOP,True
Cypress Village,Jacksonville,Duval,florida,30.2535022,-81.45565289999999,ROOFTOP,True
Dania Pointe Care Center,Dania Beach,Broward,florida,26.0536775,-80.15984279999999,ROOFTOP,True
Darcy Hall Of Life Care,West Palm Beach,Palm Beach,florida,26.7116296,-80.09483829999999,ROOFTOP,True
Davenport Care Center,Davenport,Polk,florida,28.1614046,-81.60174169999999,APPROXIMATE,True
Daytona Beach Health And Rehabilitation Center,Daytona Beach,Volusia,florida,29.2230669,-81.0517812,ROOFTOP,True
De Luna Health And Rehabilitation Center,Pensacola,Escambia,florida,30.5323797,-87.28362109999999,ROOFTOP,True
Debary Health And Rehabilitation Center,Debary,Volusia,florida,28.8931952,-81.30660689999999,ROOFTOP,True
Delaney Park Health And Rehabilitation Center,Orlando,Orange,florida,28.5298632,-81.3744483,ROOFTOP,True
Deltona Health Care,Deltona,Volusia,florida,28.917261,-81.22037999999999,ROOFTOP,True
