ST_CASE,STATENAME,LATITUDE,LONGITUD,FATALS,V_CONFIGNAME,year
490019,Utah,40.24777222,-110.2371556,1,Truck Pulling Trailer(s),2020
490021,Utah,37.56541667,-113.18675,1,Single-Unit Truck (3 or more axles),2020
490031,Utah,37.05831944,-113.5864944,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2020
490048,Utah,40.74881389,-111.7209917,1,Truck Tractor (Bobtail),2020
490052,Utah,40.72425556,-111.9208833,1,Truck Tractor/Semi-Trailer,2020
490055,Utah,38.52688889,-112.6113556,1,Truck Tractor/Semi-Trailer,2020
490065,Utah,40.92545556,-111.8913667,1,Truck Tractor/Semi-Trailer,2020
490072,Utah,37.96365,-109.3556917,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2020
490072,Utah,37.96365,-109.3556917,1,Truck Pulling Trailer(s),2020
490073,Utah,37.68478056,-113.1619556,1,Truck Pulling Trailer(s),2020
490074,Utah,39.81433333,-111.5063889,1,Truck Tractor/Semi-Trailer,2020
490090,Utah,39.97547778,-111.8465472,1,Truck Pulling Trailer(s),2020
490094,Utah,40.03516111,-111.7531556,1,Truck Pulling Trailer(s),2020
490099,Utah,39.52447778,-111.0366833,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2020
490102,Utah,40.08612778,-111.5928806,1,Truck Tractor/Semi-Trailer,2020
490103,Utah,40.14428333,-111.60245,1,"Truck More Than 10,000 lbs, Cannot Classify",2020
490118,Utah,40.20951944,-110.8268528,1,Truck Tractor/Double,2020
490128,Utah,40.458375,-111.9150417,1,Truck Tractor/Semi-Trailer,2020
490134,Utah,40.77105278,-112.9800028,1,Truck Tractor/Semi-Trailer,2020
490139,Utah,40.72759167,-113.3381694,1,Truck Tractor/Double,2020
490144,Utah,39.98163333,-111.3561667,1,Truck Tractor/Double,2020
490145,Utah,41.13642778,-111.7878889,1,Truck Tractor/Semi-Trailer,2020
490167,Utah,41.17618889,-112.026,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2020
490169,Utah,37.97456667,-109.3548417,1,"Truck More Than 10,000 lbs, Cannot Classify",2020
490169,Utah,37.97456667,-109.3548417,1,Truck Pulling Trailer(s),2020
490170,Utah,40.72788889,-113.3621806,1,"Truck More Than 10,000 lbs, Cannot Classify",2020
490178,Utah,40.74046944,-111.9492556,1,Truck Tractor/Semi-Trailer,2020
490184,Utah,41.63654722,-111.1794306,1,Truck Tractor/Double,2020
490209,Utah,40.68781667,-111.9513917,1,Truck Tractor/Semi-Trailer,2020
490224,Utah,37.76470278,-113.0553889,1,Single-Unit Truck (3 or more axles),2020
490228,Utah,41.54688333,-112.112525,1,Truck Pulling Trailer(s),2020
490233,Utah,41.78543056,-112.1251194,1,Truck Tractor/Semi-Trailer,2020
490251,Utah,38.98764444,-111.1702056,1,Truck Tractor/Double,2020
490264,Utah,40.76464722,-112.0250194,1,Truck Tractor/Semi-Trailer,2020
490265,Utah,40.20871389,-111.1033972,1,Truck Tractor/Double,2020
490272,Utah,39.97999444,-112.2607778,1,Truck Tractor/Semi-Trailer,2020
490002,Utah,41.33058333,-111.8252139,1,Single-Unit Truck (3 or more axles),2019
490004,Utah,38.48353611,-112.6171111,1,Truck Tractor/Semi-Trailer,2019
490008,Utah,40.18237778,-111.042525,1,Truck Pulling Trailer(s),2019
490011,Utah,40.54508611,-112.0226722,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2019
490012,Utah,41.90300278,-111.8147556,1,Truck Tractor/Semi-Trailer,2019
490036,Utah,37.04295833,-112.5263944,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2019
490039,Utah,38.05658889,-112.6967333,1,Truck Tractor/Triple,2019
490042,Utah,39.23960278,-110.338875,1,Truck Tractor/Semi-Trailer,2019
490042,Utah,39.23960278,-110.338875,1,Truck Tractor/Double,2019
490045,Utah,39.71531111,-111.7247889,1,Truck Pulling Trailer(s),2019
490049,Utah,41.4536,-112.05565,1,Truck Tractor/Double,2019
490051,Utah,39.003175,-110.2726639,1,Truck Tractor/Semi-Trailer,2019
490069,Utah,40.57439444,-111.4340306,1,Truck Tractor/Semi-Trailer,2019
490072,Utah,39.92781111,-111.0744778,1,"Truck More Than 10,000 lbs, Cannot Classify",2019
