ST_CASE,STATENAME,LATITUDE,LONGITUD,FATALS,V_CONFIGNAME,year,,,,
490098,Utah,40.25648611,-111.6724056,1,Not Applicable,2021,,,,
490099,Utah,37.65514167,-113.086,1,Not Applicable,2021,,,,
490099,Utah,37.65514167,-113.086,1,Not Applicable,2021,,,,
490100,Utah,41.89559167,-111.8149333,1,Not Applicable,2021,,,,
490100,Utah,41.89559167,-111.8149333,1,"Qualifying Vehicle, Unknown Configuration",2021,,,,
490100,Utah,41.89559167,-111.8149333,1,Not Applicable,2021,,,,
490101,Utah,40.72098333,-112.0249028,2,Not Applicable,2021,,,,
490101,Utah,40.72098333,-112.0249028,2,Not Applicable,2021,,,,
490102,Utah,40.730925,-113.5027389,1,Not Applicable,2021,,,,
490103,Utah,37.67428611,-110.6914667,1,Not Applicable,2021,,,,
490104,Utah,37.22566389,-113.2818083,1,Truck Tractor/Semi-Trailer,2021,,,,
490105,Utah,40.71768611,-112.0916611,1,Not Applicable,2021,,,,
490105,Utah,40.71768611,-112.0916611,1,Not Applicable,2021,,,,
490105,Utah,40.71768611,-112.0916611,1,Not Applicable,2021,,,,
490106,Utah,38.97181944,-111.1809917,1,Not Applicable,2021,,,,
490106,Utah,38.97181944,-111.1809917,1,Single-Unit Truck (3 or more axles),2021,,,,
490107,Utah,38.39317778,-113.0116361,2,Not Applicable,2021,,,,
490108,Utah,41.228975,-111.9632611,1,Not Applicable,2021,,,,
490109,Utah,41.24875,-111.8866,1,Not Applicable,2021,,,,
490109,Utah,41.24875,-111.8866,1,Not Applicable,2021,,,,
490109,Utah,41.24875,-111.8866,1,Truck Pulling Trailer(s),2021,,,,
490110,Utah,40.47224444,-111.9079528,1,Not Applicable,2021,,,,
490111,Utah,40.592425,-111.9020472,1,Not Applicable,2021,,,,
490111,Utah,40.592425,-111.9020472,1,Truck Tractor/Semi-Trailer,2021,,,,
490111,Utah,40.592425,-111.9020472,1,Truck Tractor/Semi-Trailer,2021,,,,
490112,Utah,40.38601944,-111.9354139,1,Not Applicable,2021,,,,
490112,Utah,40.38601944,-111.9354139,1,Not Applicable,2021,,,,
490113,Utah,40.77145,-111.9167778,1,Not Applicable,2021,,,,
490113,Utah,40.77145,-111.9167778,1,Not Applicable,2021,,,,
490114,Utah,39.812225,-111.8342611,1,Not Applicable,2021,,,,
490115,Utah,40.87001667,-111.8922028,1,Not Applicable,2021,,,,
490115,Utah,40.87001667,-111.8922028,1,Not Applicable,2021,,,,
490116,Utah,38.06539444,-112.3473722,1,Not Applicable,2021,,,,
490117,Utah,40.38089167,-112.3867611,1,Not Applicable,2021,,,,
490118,Utah,40.44383889,-111.7070444,1,Not Applicable,2021,,,,
490120,Utah,39.73118611,-110.8702556,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021,,,,
490120,Utah,39.73118611,-110.8702556,1,Truck Tractor/Semi-Trailer,2021,,,,
490121,Utah,41.76551389,-111.8585028,1,Not Applicable,2021,,,,
490121,Utah,41.76551389,-111.8585028,1,Single-Unit Truck (3 or more axles),2021,,,,
490122,Utah,40.36455278,-111.7855444,1,Not Applicable,2021,,,,
490122,Utah,40.36455278,-111.7855444,1,Not Applicable,2021,,,,
490123,Utah,40.12669444,-111.5648444,1,Not Applicable,2021,,,,
490123,Utah,40.12669444,-111.5648444,1,Not Applicable,2021,,,,
490124,Utah,40.65460556,-111.9019056,1,Not Applicable,2021,,,,
490125,Utah,41.12196389,-112.0259861,1,Unknown,2021,,,,
490126,Utah,37.12763056,-113.6018,2,Not Applicable,2021,,,,
490126,Utah,37.12763056,-113.6018,2,Not Applicable,2021,,,,
490127,Utah,41.26865833,-112.0283111,1,Truck Tractor/Semi-Trailer,2021,,,,
490128,Utah,40.74273889,-112.6315833,1,Not Applicable,2021,,,,
490128,Utah,40.74273889,-112.6315833,1,Truck Pulling Trailer(s),2021,,,,
490129,Utah,40.01401111,-111.4921306,1,Not Applicable,2021,,,,
490129,Utah,40.01401111,-111.4921306,1,Not Applicable,2021,,,,
490130,Utah,40.53583333,-111.4104472,1,Not Applicable,2021,,,,
490130,Utah,40.53583333,-111.4104472,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021,,,,
490131,Utah,39.70548611,-110.6100722,1,Not Applicable,2021,,,,
490132,Utah,38.55536389,-112.4238778,1,Not Applicable,2021,,,,
490133,Utah,37.71772222,-112.24105,1,Not Applicable,2021,,,,
490133,Utah,37.71772222,-112.24105,1,Not Applicable,2021,,,,
490134,Utah,37.00282778,-111.5742333,1,Not Applicable,2021,,,,
490135,Utah,40.50225,-112.4950833,1,Not Applicable,2021,,,,
490136,Utah,40.66163056,-111.8574583,1,Not Applicable,2021,,,,
490137,Utah,40.29651389,-109.9889444,1,Not Applicable,2021,,,,
490138,Utah,38.83263611,-112.4816028,8,Not Applicable,2021,,,,
490138,Utah,38.83263611,-112.4816028,8,Not Applicable,2021,,,,
490138,Utah,38.83263611,-112.4816028,8,Not Applicable,2021,,,,
490138,Utah,38.83263611,-112.4816028,8,Not Applicable,2021,,,,
490138,Utah,38.83263611,-112.4816028,8,Not Applicable,2021,,,,
490138,Utah,38.83263611,-112.4816028,8,Truck Tractor/Semi-Trailer,2021,,,,
490138,Utah,38.83263611,-112.4816028,8,Not Applicable,2021,,,,
490138,Utah,38.83263611,-112.4816028,8,Not Applicable,2021,,,,
490138,Utah,38.83263611,-112.4816028,8,Not Applicable,2021,,,,
490139,Utah,41.18498611,-111.1298889,1,Not Applicable,2021,,,,
490140,Utah,40.47218333,-111.4455417,3,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021,,,,
490140,Utah,40.47218333,-111.4455417,3,Not Applicable,2021,,,,
490140,Utah,40.47218333,-111.4455417,3,Not Applicable,2021,,,,
490140,Utah,40.47218333,-111.4455417,3,Not Applicable,2021,,,,
490140,Utah,40.47218333,-111.4455417,3,Not Applicable,2021,,,,
490141,Utah,37.30092778,-112.6060139,1,Not Applicable,2021,,,,
490141,Utah,37.30092778,-112.6060139,1,Not Applicable,2021,,,,
490142,Utah,41.22317778,-111.9998694,1,Not Applicable,2021,,,,
490142,Utah,41.22317778,-111.9998694,1,Not Applicable,2021,,,,
490144,Utah,40.21461389,-110.2184722,1,Not Applicable,2021,,,,
490144,Utah,40.21461389,-110.2184722,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021,,,,
490145,Utah,40.47262778,-111.4451083,1,Not Applicable,2021,,,,
490145,Utah,40.47262778,-111.4451083,1,Not Applicable,2021,,,,
490145,Utah,40.47262778,-111.4451083,1,Not Applicable,2021,,,,
490146,Utah,37.450125,-113.2292278,1,Not Applicable,2021,,,,
490146,Utah,37.450125,-113.2292278,1,Truck Tractor/Semi-Trailer,2021,,,,
490147,Utah,41.01458611,-111.940275,2,Not Applicable,2021,,,,
490147,Utah,41.01458611,-111.940275,2,Not Applicable,2021,,,,
490147,Utah,41.01458611,-111.940275,2,Not Applicable,2021,,,,
490148,Utah,40.58038333,-111.8418333,1,Not Applicable,2021,,,,
490148,Utah,40.58038333,-111.8418333,1,Not Applicable,2021,,,,
490149,Utah,39.31125,-110.9644167,1,Not Applicable,2021,,,,
490149,Utah,39.31125,-110.9644167,1,Truck Tractor/Double,2021,,,,
490150,Utah,40.73248056,-113.5695472,1,Truck Tractor/Semi-Trailer,2021,,,,
490151,Utah,40.73876667,-113.8690333,1,Not Applicable,2021,,,,
490152,Utah,40.50859444,-110.2762167,1,Not Applicable,2021,,,,
490154,Utah,40.74897222,-111.8997611,1,Not Applicable,2021,,,,
490154,Utah,40.74897222,-111.8997611,1,Not Applicable,2021,,,,
490155,Utah,38.90903056,-111.894875,1,Not Applicable,2021,,,,
490156,Utah,41.24445833,-111.9764361,1,Not Applicable,2021,,,,
490157,Utah,40.71888056,-112.0631722,1,Not Applicable,2021,,,,
490157,Utah,40.71888056,-112.0631722,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021,,,,
490157,Utah,40.71888056,-112.0631722,1,Truck Pulling Trailer(s),2021,,,,
490157,Utah,40.71888056,-112.0631722,1,Not Applicable,2021,,,,
490158,Utah,40.35246944,-111.7724889,1,Not Applicable,2021,,,,
490158,Utah,40.35246944,-111.7724889,1,Not Applicable,2021,,,,
490158,Utah,40.35246944,-111.7724889,1,Not Applicable,2021,,,,
490158,Utah,40.35246944,-111.7724889,1,Truck Tractor/Semi-Trailer,2021,,,,
490159,Utah,41.13611944,-111.7868556,1,Not Applicable,2021,,,,
490160,Utah,40.03898889,-111.5365611,2,Not Applicable,2021,,,,
490160,Utah,40.03898889,-111.5365611,2,Not Applicable,2021,,,,
490161,Utah,40.56956667,-111.8997111,1,Not Applicable,2021,,,,
490161,Utah,40.56956667,-111.8997111,1,Truck Tractor/Semi-Trailer,2021,,,,
490161,Utah,40.56956667,-111.8997111,1,Not Applicable,2021,,,,
490162,Utah,41.547775,-112.1117667,1,Not Applicable,2021,,,,
490163,Utah,40.35461944,-111.77635,1,Truck Pulling Trailer(s),2021,,,,
490164,Utah,40.63625,-111.9070028,1,Not Applicable,2021,,,,
490164,Utah,40.63625,-111.9070028,1,Not Applicable,2021,,,,
