route,county,location,time,latitude,longitude,type
Kearns Blvd,Summit County,Kearns Blvd at Wyatt Earp Way,"12/28/23, 6:23 PM",40.668365,-111.485859,Crash
SR 32,Summit County,SR 32 at MP 28,"12/28/23, 6:22 PM",40.80244,-111.408778,Crash
1900 W,Weber County,1900 W at 12th St,"12/28/23, 6:20 AM",41.24546,-112.025234,Crash
I-80,Salt Lake County,I-80 at MP 109,"12/28/23, 5:49 PM",40.77111,-112.105407,Medical
SR 201,Salt Lake County,SR 201 at MP 15,"12/28/23, 4:51 PM",40.724124,-111.943886,Crash
SR 18,Washington County,SR 18 at MP 15,"12/28/23, 4:25 PM",37.276489,-113.649032,Crash
I-70,Sevier County,I-70 at MP 49,"12/28/23, 4:03 AM",38.87438,-111.9644,Crash
US 89,Kane County,US 89 at MP 94,"12/28/23, 3:46 PM",37.374207,-112.594084,Crash
I-15,Salt Lake County,I-15 at MP 293,"12/28/23, 3:07 PM",40.550055,-111.896336,Crash
SR 36,Tooele County,SR 36 at MP 56,"12/28/23, 2:45 PM",40.554334,-112.297621,Crash
California Ave,Salt Lake County,California Ave at Bangerter NB Hwy,"12/28/23, 12:43 PM",40.743248,-111.989536,Crash
I-15,Millard County,I-15 at MP 146,"12/28/23, 11:57 AM",38.75936,-112.561477,Vehicle Fire
US 191,Duchesne County,US 191 at MP 265,"12/28/23, 11:06 PM",39.868778,-110.762554,Crash
SR 193,Davis County,SR 193 at MP 3,"12/28/23, 10:24 PM",41.103376,-111.957791,Crash
I-84,Box Elder County,I-84 at MP 26,"12/28/23, 10:23 PM",41.822722,-112.420604,Crash
SR 38,Box Elder County,SR 38 at MP 5,"12/28/23, 10:13 PM",41.595169,-112.045521,Crash
I-15,Juab County,I-15 at MP 228,"12/28/23, 1:56 PM",39.747541,-111.834299,Crash
US 6,Carbon County,US 6 at MP 226,"12/28/23, 1:52 AM",39.768674,-110.907264,Crash
SR 62,Piute County,SR 62 at MP 10,"12/28/23, 1:40 PM",38.175314,-112.065077,Crash
I-15,Juab County,I-15 at MP 198,"12/28/23, 1:37 AM",39.384797,-112.074376,Crash
Washington Blvd,Weber County,Washington Blvd at 3300 S,"12/28/23, 1:10 PM",41.20329,-111.970874,Crash
SR 10,Emery County,SR 10 at MP 35,"12/27/23, 9:58 AM",39.178968,-111.04266,Crash
SR 118,Sevier County,SR 118 at MP 10,"12/27/23, 9:56 AM",38.687864,-112.121657,Crash
SR 201,Salt Lake County,SR 201 at MP 10,"12/27/23, 9:44 AM",40.724933,-112.039659,Crash
I-80,Salt Lake County,I-80 at MP 137,"12/27/23, 9:37 AM",40.74385,-111.657734,Crash
US 89,Sanpete County,US 89 at MP 272,"12/27/23, 9:29 PM",39.482376,-111.520632,Crash
SR 163,San Juan County,SR 163 at MP 21,"12/27/23, 9:13 AM",37.151055,-109.866585,Crash
Wall Ave,Weber County,Wall Ave at 31st St,"12/27/23, 8:43 PM",41.208227,-111.979229,Crash
HWY 201,Salt Lake County,HWY 201 5801,"12/27/23, 8:33 AM",40.725496,-112.035677,Crash
36th St,Weber County,36th St at Washington Blvd,"12/27/23, 7:55 PM",41.197792,-111.971001,Crash
SR 95,San Juan County,SR 95 at MP 64,"12/27/23, 7:12 PM",37.713509,-110.244277,Crash
I-15,Salt Lake County,I-15 at MP 300,"12/27/23, 7:12 AM",40.649847,-111.90236,Crash
SR 56,Iron County,SR 56 at MP 13,"12/27/23, 6:42 AM",37.780497,-113.858358,Crash
I-15,Salt Lake County,I-15 at MP 307,"12/27/23, 6:39 PM",40.74966,-111.90976,Crash
5400 S,Salt Lake County,5400 S at 2200 W,"12/27/23, 6:27 PM",40.653066,-111.949893,Crash
Bangerter Hwy,Salt Lake County,Bangerter Hwy at 3100 S,"12/27/23, 6:18 PM",40.703886,-111.980001,Crash
SR 10,Emery County,SR 10 at MP 35,"12/27/23, 6:06 PM",39.178968,-111.04266,Crash
SR 56,Iron County,SR 56 at MP 48,"12/27/23, 5:45 AM",37.634822,-113.289518,Crash
I-15,Salt Lake County,I-15 at MP 297,"12/27/23, 5:27 PM",40.607173,-111.905403,Crash
SR 201,Salt Lake County,SR 201 at MP 14,"12/27/23, 5:26 PM",40.72606,-111.962907,Crash
I-15,Salt Lake County,I-15 at MP 288,"12/27/23, 5:19 AM",40.480607,-111.902252,Stalled Vehicle
I-15,Utah County,I-15 at MP 257,"12/27/23, 5:12 AM",40.122652,-111.658929,Crash
SR 32,Summit County,SR 32 at MP 25,"12/27/23, 4:46 AM",40.76272,-111.396529,Debris
I-15,Iron County,I-15 at MP 73,"12/27/23, 4:23 PM",37.825673,-112.90567,Crash
US 89,Sanpete County,US 89 at MP 265,"12/27/23, 4:03 PM",39.392227,-111.57835,Crash
1000 E,Davis County,1000 E at 2200 W/Antelope Dr,"12/27/23, 3:28 PM",41.091294,-112.006909,Crash
US 40,Wasatch County,US 40 at MP 13,"12/27/23, 2:45 PM",40.560962,-111.427534,Crash
US 189,Wasatch County,US 189 at MP 24,"12/27/23, 2:35 PM",40.446013,-111.477114,Crash
SR 201,Salt Lake County,SR 201 at MP 12,"12/27/23, 2:08 AM",40.725741,-112.001283,Crash
US 6,Utah County,US 6 at EMMA PARK RD,"12/27/23, 10:39 AM",39.824857,-110.949901,Crash
I-84,Weber County,I-84 at MP 88,"12/26/23, 9:59 PM",41.137693,-111.909879,Crash
SR 201 EB X13 On Bangerter Ramp,Salt Lake County,SR 201 EB X13 On Bangerter Ramp at Bangerter Hwy,"12/26/23, 9:58 AM",40.725958,-111.977226,Crash
I-70,Emery County,I-70 at MP 116,"12/26/23, 9:02 PM",38.854656,-110.922324,Crash
SR 224,Summit County,SR 224 at MP 7,"12/26/23, 7:48 AM",40.672253,-111.517503,Vehicle Fire
I-15,Millard County,I-15 at MP 139,"12/26/23, 7:26 AM",38.66422,-112.590118,Crash
SR 491,San Juan County,SR 491 at MP 15,"12/26/23, 7:06 PM",37.826513,-109.076783,Crash
I-15,Box Elder County,I-15 at MP 377,"12/26/23, 6:47 AM",41.682729,-112.147356,Crash
I-80,Tooele County,I-80 at MP 44,"12/26/23, 6:32 PM",40.726759,-113.207049,Crash
I-15,Washington County,I-15 at MP 40,"12/26/23, 6:32 AM",37.45086,-113.229358,Crash
I-80,Tooele County,I-80 at MP 29,"12/26/23, 5:17 PM",40.731644,-113.493074,Crash
Main St,Davis County,Main St at 2300 N,"12/26/23, 5:08 PM",41.143556,-112.026042,Crash
1900 W,Weber County,1900 W 1350,"12/26/23, 4:39 PM",41.233453,-112.025513,Crash
I-15,Salt Lake County,I-15 at MP 289,"12/26/23, 4:20 PM",40.492398,-111.891485,Crash
Washington Blvd,Weber County,Washington Blvd at 1100 N,"12/26/23, 4:14 PM",41.276141,-111.969304,Crash
I-215 W,Salt Lake County,I-215 W at MP 25,"12/26/23, 4:09 PM",40.803702,-111.949406,Crash
Washington Blvd,Weber County,Washington Blvd at 30th St,"12/26/23, 3:54 PM",41.211217,-111.970687,Crash
US 189,Utah County,US 189 at MP 14,"12/26/23, 3:45 PM",40.362967,-111.560551,Crash
500 W,Davis County,500 W at 400 N,"12/26/23, 3:09 PM",40.894016,-111.892227,Crash
12th St,Weber County,12th St at Washington Blvd,"12/26/23, 2:57 PM",41.244299,-111.971008,Crash
I-84,Box Elder County,I-84 at MP 23,"12/26/23, 2:22 PM",41.858814,-112.453156,Crash
SR 24,Sevier County,SR 24 at MP 18,"12/26/23, 12:59 PM",38.742181,-111.922402,Crash
Antelope Dr,Davis County,Antelope Dr 435,"12/26/23, 12:26 PM",41.089174,-112.054936,Crash
SR 32,Wasatch County,SR 32 at MP 5,"12/26/23, 12:13 PM",40.592607,-111.376376,Crash
SR 248,Summit County,SR 248 at MP 12,"12/26/23, 10:25 PM",40.638861,-111.327841,Crash
US 89,Sanpete County,US 89 at MP 279,"12/26/23, 10:22 PM",39.563228,-111.455448,Crash
I-15,Utah County,I-15 at MP 272,"12/26/23, 10:22 AM",40.316406,-111.72616,Stalled Vehicle
I-15,Salt Lake County,I-15 at MP 298,"12/26/23, 10:05 AM",40.621691,-111.903876,Crash
I-215 S,Salt Lake County,I-215 S at MP 13,"12/25/23, 8:48 PM",40.64406,-111.929407,Crash
Mountain View Corridor Hwy,Salt Lake County,Mountain View Corridor Hwy at 13400 S,"12/25/23, 8:22 PM",40.507864,-112.005183,Crash
12600 S,Salt Lake County,12600 S at 3600 W,"12/25/23, 7:55 PM",40.522252,-111.979551,Crash
I-215 S,Salt Lake County,I-215 S at MP 13,"12/25/23, 7:11 PM",40.64406,-111.929407,Crash
I-15,Utah County,I-15 at MP 265,"12/25/23, 7:06 PM",40.226604,-111.677837,Crash
I-15,Box Elder County,I-15 at MP 364,"12/25/23, 4:47 PM",41.513423,-112.061717,Crash
Mountain View Corridor Hwy,Salt Lake County,Mountain View Corridor Hwy at 5400 S,"12/25/23, 2:56 PM",40.653134,-112.045072,Crash
Park Ln,Davis County,Park Ln at Legacy NB X12 Off Park Ln EB Ramp,"12/25/23, 11:24 PM",40.989972,-111.905107,Crash
SR 56,Iron County,SR 56 at MP 56,"12/25/23, 11:10 PM",37.684955,-113.161239,Crash
I-80,Tooele County,I-80 at MP 65,"12/25/23, 1:35 PM",40.801373,-112.851473,Crash
Main St,Sevier County,Main St at 100 N,"12/24/23, 6:28 AM",38.709044,-112.060945,Signal problems
I-80,Tooele County,I-80 at MP 41,"12/24/23, 5:45 AM",40.726528,-113.265943,Crash
I-15,Salt Lake County,I-15 at MP 304,"12/24/23, 4:47 AM",40.709288,-111.903742,Crash
I-215 S,Salt Lake County,I-215 S at MP 9,"12/24/23, 3:48 AM",40.630157,-111.858352,Medical
I-15,Salt Lake County,I-15 at MP 304,"12/24/23, 2:23 AM",40.709203,-111.90365,Crash
Hwy 36,Tooele County,Hwy 36 at Bates Canyon Rd,"12/24/23, 12:51 AM",40.618388,-112.29435,Crash
I-80,Summit County,I-80 at MP 190,"12/24/23, 1:55 AM",41.183754,-111.131159,Crash
SR 92,Utah County,SR 92 at MP 10,"12/23/23, 9:56 PM",40.443302,-111.708308,Crash
I-15,Millard County,I-15 at MP 141,"12/23/23, 9:46 AM",38.696466,-112.602232,Crash
SR 248,Wasatch County,SR 248 at MP 8,"12/23/23, 9:43 AM",40.641218,-111.397599,Crash
Bangerter Hwy,Salt Lake County,Bangerter Hwy at MP 10,"12/23/23, 9:38 AM",40.56766,-111.977145,Crash
