ST_CASE,CITY,DAY,MONTH,YEAR,HOUR,ROUTE,LATITUDE,LONGITUD,REL_ROAD,FATALS,HARM_EV,TWAY_ID,BODY_TYP_1,BODY_TYP_2,BODY_TYP_3,BODY_TYP_4,BODY_TYP_5,BODY_TYP_1_TEXT,BODY_TYP_2_TEXT,BODY_TYP_3_TEXT,BODY_TYP_4_TEXT,BODY_TYP_5_TEXT,HARM_EV_TEXT
490142,0,7,8,2014,0,5,40.48233333,-110.0019056,4,1,33,WHITEROCKS RD,4,,,,,Car,,,,,Hit object
490174,1640,19,9,2014,17,2,40.28736111,-110.0033222,1,1,12,US-40,31,80,,,,Pickup truck,Motorcycle,,,,Hit other vehicle
490155,620,28,10,2019,13,1,38.92680833,-110.0043722,2,1,1,I-70,4,,,,,Car,,,,,Rollover
490080,0,30,6,2014,10,2,40.28014167,-110.0170333,1,1,12,US-40,31,66,31,,,Pickup truck,Semi truck,Pickup truck,,,Hit other vehicle
490073,1640,12,5,2018,20,3,40.27726667,-110.0226361,1,1,12,SR-40,34,6,,,,Pickup truck,Car,,,,Hit other vehicle
490056,0,27,4,2016,13,6,38.72811944,-110.0306222,4,1,17,RUBY RANCH RD,90,,,,,Motorcycle,,,,,Hit object
490034,0,14,4,2013,13,4,40.33917778,-110.0415833,4,1,1,CR-181,15,,,,,SUV,,,,,Rollover
490035,0,7,4,2014,22,4,40.24973889,-110.0484,4,1,35,CR-55,4,,,,,Car,,,,,Hit ditch
490161,0,18,9,2014,13,1,38.96011111,-110.0630444,3,1,35,I-70,3,,,,,Car,,,,,Hit ditch
490136,0,21,9,2012,16,2,40.25499444,-110.0657,1,1,12,US-40,14,4,,,,SUV,Car,,,,Hit other vehicle
490205,0,15,10,2015,19,3,40.25856944,-110.0662833,1,1,8,SR-87,14,,,,,SUV,,,,,Hit pedestrian
490009,0,12,1,2014,4,2,40.217975,-110.0672444,1,1,12,US-40,63,66,,,,Heavy truck,Semi truck,,,,Hit other vehicle
490031,0,10,3,2014,3,2,40.20224167,-110.0672444,1,1,8,US-40,31,,,,,Pickup truck,,,,,Hit pedestrian
490180,1640,11,8,2022,7,3,40.25853889,-110.077525,1,1,12,SR-87,14,80,,,,SUV,Motorcycle,,,,Hit other vehicle
490265,1205,16,11,2016,23,2,37.04348333,-110.0971583,99,1,1,US-163,99,,,,,Other,,,,,Rollover
490015,0,30,1,2014,6,6,40.17975556,-110.0994083,4,1,31,PERRIETTE RD,63,31,,,,Heavy truck,Pickup truck,,,,Hit object
490020,0,21,2,2017,21,1,38.97186389,-110.101,3,3,1,I-70,34,,,,,Pickup truck,,,,,Rollover
490245,0,23,12,2015,16,1,38.97348889,-110.1077667,4,2,1,I-70,15,,,,,SUV,,,,,Rollover
490109,120,1,7,2020,22,3,37.51004444,-110.11185,1,3,1,SR-276,34,,,,,Pickup truck,,,,,Rollover
490205,0,16,11,2014,14,1,38.97559444,-110.1200361,3,1,1,I-70,31,,,,,Pickup truck,,,,,Rollover
490212,1250,11,10,2020,20,3,40.17638889,-110.1230917,1,2,18,SR-40,34,,,,,Pickup truck,,,,,Hit object
490134,1205,4,3,2016,10,2,37.02145833,-110.1426222,4,2,1,US-163,99,,,,,Other,,,,,Rollover
490187,620,27,7,2022,18,1,38.97415,-110.1431194,3,1,1,I-70,14,,,,,SUV,,,,,Rollover
490167,1250,6,11,2019,7,2,40.16490833,-110.1540111,1,1,12,US-40,2,66,,,,Car,Semi truck,,,,Hit other vehicle
490038,620,11,4,2014,13,5,38.99314722,-110.1650889,1,1,1,GREEN RIVER AVE,90,,,,,Motorcycle,,,,,Rollover
490030,1205,1,1,2016,15,2,37.00459722,-110.1732583,1,2,12,US-163,31,14,,,,Pickup truck,SUV,,,,Hit other vehicle
490231,1205,25,6,2019,18,4,37.00423889,-110.1733833,4,1,1,CR-421,99,,,,,Other,,,,,Rollover
490077,1205,5,5,2017,22,4,37.00425556,-110.1734028,1,1,8,CR-468,4,,,,,Car,,,,,Hit pedestrian
